time,current
131484,843
131497,730
131509,680
131522,633
131534,591
131546,551
131559,518
131571,483
131584,452
131596,424
131609,396
131621,374
131634,350
131646,326
131659,304
131671,285
131684,267
131696,252
131709,236
131721,220
131733,207
131746,196
131759,184
131771,171
131783,159
131796,150
131808,140
131821,131
131833,124
131846,115
131858,111
131871,102
131883,95
131895,90
131906,87
131918,80
131929,77
131940,70
131952,67
131963,64
131975,61
131986,56
131998,55
132009,51
132021,48
132032,47
132043,42
132055,40
132066,38
132077,35
132089,35
132100,34
132112,29
132123,28
132135,28
132146,25
132158,24
132169,23
132180,23
132192,20
132203,19
132215,18
132226,17
132238,19
132249,117
132262,168
132274,259
132286,289
132299,373
132312,401
132324,479
132336,515
132349,570
132361,624
132374,642
132386,675
132399,683
132411,736
132424,737
132436,782
132449,777
132461,814
132474,808
132486,835
132499,819
132511,856
132523,840
132536,862
132548,839
132561,863
132573,845
132586,877
132598,860
132611,883
132623,863
132636,892
132648,915
132661,904
132673,922
132686,905
132698,928
132710,908
132723,926
132736,905
132748,920
132761,892
132773,913
132785,897
132798,913
132810,887
132823,900
132835,878
132848,908
132860,884
132873,895
132885,876
132898,894
132910,876
132923,878
132935,849
132948,866
132960,871
132972,878
132985,895
132998,888
133010,908
133022,879
133035,904
133047,887
133060,899
133072,872
133085,866
133097,834
133110,849
133122,814
133135,813
133147,789
133159,795
133172,769
133185,776
133197,772
133209,801
133222,784
133234,815
133247,803
133260,824
133272,836
133284,831
133297,925
133309,950
133322,1051
133335,1033
133349,1088
133362,1128
133376,1121
133389,1185
133403,1185
133416,1199
133430,1244
133443,1225
133457,1263
133470,1294
133484,1256
133498,1278
133511,1314
133524,1280
133538,1305
133552,1331
133565,1291
133578,1320
133592,1339
133605,1312
133619,1331
133633,1344
133646,1323
133659,1352
133673,1311
133687,1331
133700,1350
133714,1304
133727,1336
133741,1366
133754,1321
133768,1337
133781,1367
133795,1326
133808,1347
133822,1366
133835,1326
133849,1353
133862,1339
133876,1331
133889,1360
133903,1332
133916,1367
133930,1393
133943,1361
133957,1372
133970,1393
133984,1368
133997,1386
134011,1402
134024,1352
134038,1374
134052,1398
134065,1361
134078,1380
134092,1377
134105,1348
134119,1367
134133,1329
134146,1358
134159,1388
134173,1344
134187,1368
134200,1393
134214,1354
134227,1379
134241,1420
134254,1369
134268,1391
134281,1363
134295,1291
134308,1247
134322,1184
134335,1143
134349,1115
134362,1062
134376,1033
134389,1009
134403,965
134415,953
134428,922
134440,915
134453,884
134465,880
134478,852
134490,841
134502,847
134515,835
134528,831
134540,807
134552,802
134565,771
134577,775
134590,753
134603,761
134615,742
134627,753
134640,740
134652,766
134665,740
134677,748
134690,723
134702,752
134715,731
134727,744
134740,723
134752,730
134764,702
134777,726
134790,718
134802,717
134814,712
134827,696
134839,726
134852,711
134864,721
134877,700
134889,706
134902,683
134914,696
134927,676
134939,692
134952,680
134964,694
134977,685
134989,709
135001,697
135014,706
135026,683
135039,710
135051,697
135064,702
135076,679
135089,687
135101,694
135114,712
135126,713
135139,697
135151,704
135164,694
135176,718
135188,692
135201,705
135214,683
135226,694
135239,670
135251,701
135263,688
135276,697
135288,676
135301,706
135313,699
135326,707
135338,686
135351,688
135363,667
135376,680
135388,666
135401,676
135413,680
135426,679
135438,691
135450,679
135463,691
135476,679
135488,685
135500,672
135513,700
135525,681
135538,699
135550,679
135563,699
135575,681
135588,703
135600,682
135613,692
135625,671
135638,679
135650,664
135663,673
135675,659
135687,670
135700,658
135712,675
135725,692
135738,680
135750,689
135762,669
135775,685
135787,679
135800,690
135812,668
135825,675
135837,660
135850,672
135862,655
135875,671
135887,653
135900,668
135912,650
135925,666
135937,651
135949,677
135962,672
135974,707
135987,691
135999,715
136012,716
136024,709
136037,721
136049,719
136062,727
136074,701
136087,708
136099,703
136112,731
136124,712
136136,727
136149,710
136162,718
136174,697
136186,729
136199,708
136211,716
136224,693
136236,717
136249,699
136261,710
136274,688
136286,693
136299,680
136311,689
136324,685
136336,692
136349,703
136361,689
136374,700
136386,691
136398,701
136411,688
136424,697
136436,678
136448,707
136461,687
136473,703
136486,687
136498,707
136511,692
136523,710
136536,695
136548,701
136561,687
136573,711
136585,694
136598,716
136611,691
136623,699
136635,697
136648,705
136660,712
136673,708
136686,724
136698,707
136710,745
136723,735
136735,765
136748,749
136760,774
136773,766
136785,793
136798,775
136810,791
136823,772
136835,800
136848,791
136860,788
136873,761
136885,768
136897,749
136910,776
136922,756
136935,767
136947,764
136960,749
136972,775
136985,753
136997,756
137010,736
137022,733
137035,714
137047,742
137060,715
137072,727
137084,699
137097,713
137110,708
137122,717
137134,691
137147,706
137159,693
137172,721
137184,700
137197,708
137209,692
137222,694
137234,679
137247,705
137259,701
137271,704
137284,706
137297,693
137309,724
137322,710
137334,724
137346,695
137359,722
137372,714
137384,718
137396,699
137409,711
137421,696
137434,707
137446,699
137459,715
137471,699
137484,708
137496,680
137509,700
137521,680
137533,698
137546,686
137559,686
137571,695
137583,688
137596,697
137608,682
137621,684
137633,672
137646,691
137658,676
137671,692
137683,675
137696,687
137708,679
137721,700
137733,679
137746,687
137758,667
137770,702
137783,684
137796,697
137808,670
137821,683
137833,680
137845,691
137858,670
137870,680
137883,692
137895,675
137908,684
137920,667
137933,676
137945,662
137958,686
137970,664
137983,677
137995,665
138008,690
138020,674
138032,685
138045,673
138058,693
138070,674
138082,689
138095,676
138107,707
138120,684
138132,703
138145,696
138157,703
138170,716
138182,703
138195,713
138207,697
138219,696
138232,674
138245,704
138257,708
138269,769
138282,761
138294,812
138307,808
138320,856
138332,844
138344,892
138357,883
138369,945
138382,936
138394,969
138407,950
138419,982
138432,973
138444,1002
138458,1022
138471,990
138484,1020
138497,1004
138510,1031
138524,1049
138538,1020
138551,1033
138565,1064
138578,1030
138592,1047
138605,1057
138619,1033
138632,1053
138646,1067
138659,1041
138673,1058
138686,1042
138700,1044
138713,1076
138727,1036
138740,1054
138754,1062
138768,1028
138781,1048
138794,1064
138808,1023
138821,1038
138835,1055
138849,1035
138862,1048
138875,1062
138889,1028
138903,1047
138916,1025
138929,1049
138943,1078
138957,1039
138970,1075
138984,1084
138997,1056
139010,1064
139024,1102
139038,1063
139051,1086
139065,1092
139078,1057
139092,1075
139105,1092
139119,1057
139132,1075
139146,1059
139159,1059
139173,1070
139186,1031
139200,1049
139213,1068
139227,1036
139240,1049
139254,1075
139267,1041
139281,1056
139294,1065
139308,1038
139321,1074
139335,1092
139349,1054
139362,1081
139375,1065
139389,1086
139403,1090
139416,1049
139429,1086
139443,1095
139456,1068
139470,1076
139484,1092
139497,1047
139510,1081
139524,1109
139538,1075
139551,1094
139565,1124
139578,1086
139592,1099
139605,1083
139619,1084
139632,1115
139646,1080
139659,1088
139673,1094
139686,1052
139700,1062
139713,1081
139727,1043
139740,1059
139754,1073
139767,1046
139781,1071
139794,1082
139808,1048
139821,1061
139835,1043
139848,1057
139862,1078
139875,1038
139889,1049
139903,1067
139916,1035
139929,1055
139943,1076
139956,1040
139970,1062
139984,1075
139997,1050
140010,1063
140024,1079
140038,1051
140051,1068
140065,1051
140078,1048
140092,1054
140105,1028
140119,1043
140132,1068
140146,1038
140159,1049
140173,1068
140186,1031
140200,1049
140213,1065
140227,1037
140240,1051
140254,1071
140267,1047
140281,1060
140294,1041
140308,1055
140321,1075
140335,1046
140348,1059
140362,1094
140375,1063
140389,1084
140403,1092
140416,1053
140429,1094
140443,1102
140456,1077
140470,1086
140484,1111
140497,1080
140510,1093
140524,1094
140538,1092
140551,1115
140565,1090
140578,1105
140592,1112
140605,1079
140619,1095
140632,1127
140646,1094
140659,1102
140673,1104
140686,1083
140700,1108
140713,1115
140727,1084
140740,1087
140754,1063
140767,1086
140781,1091
140794,1063
140808,1075
140821,1105
140835,1079
140848,1100
140862,1105
140875,1065
140889,1106
140902,1111
140916,1083
140929,1110
140943,1108
140956,1075
140970,1107
140984,1085
140997,1086
141010,1096
141024,1060
141038,1084
141051,1099
141065,1063
141078,1071
141091,1123
141105,1098
141119,1131
141132,1148
141145,1112
141159,1123
141173,1137
141186,1104
141200,1107
141213,1080
141227,1103
141240,1111
141254,1079
141267,1084
141281,1100
141294,1076
141308,1087
141321,1107
141335,1067
141348,1073
141362,1100
141375,1064
141389,1073
141402,1079
141416,1046
141429,1055
141443,1041
141456,1043
141470,1062
141484,1024
141497,1046
141510,1070
141524,1033
141538,1048
141551,1062
141565,1026
141578,1049
141591,1067
141605,1032
141619,1048
141632,1063
141645,1045
141659,1063
141673,1025
141686,1051
141700,1078
141713,1041
141727,1060
141740,1072
141754,1054
141767,1079
141781,1097
141794,1072
141808,1084
141821,1096
141835,1068
141848,1090
141862,1101
141875,1070
141889,1094
141902,1075
141916,1089
141929,1102
141943,1068
141956,1107
141970,1129
141984,1085
141997,1094
142010,1104
142024,1068
142038,1103
142051,1120
142064,1080
142078,1092
142091,1121
142105,1092
142119,1106
142132,1068
142145,1075
142159,1102
142173,1078
142186,1088
142200,1103
142213,1070
142227,1100
142240,1115
142254,1080
142267,1083
142281,1103
142294,1083
142308,1088
142321,1108
142335,1075
142348,1079
142362,1083
142375,1078
142389,1089
142402,1062
142416,1081
142429,1122
142443,1076
142456,1092
142470,1099
142483,1064
142497,1079
142510,1095
142524,1059
142537,1074
142551,1085
142564,1064
142578,1086
142591,1072
142605,1075
142619,1118
142632,1095
142645,1103
142659,1118
142673,1076
142686,1102
142700,1126
142713,1091
142726,1103
142740,1102
142754,1063
142767,1075
142781,1089
142794,1060
142808,1079
142821,1065
142835,1068
142848,1085
142862,1057
142875,1078
142889,1110
142902,1078
142916,1100
142929,1115
142943,1080
142956,1088
142970,1107
142983,1075
142997,1087
143010,1091
143024,1067
143037,1091
143051,1062
143064,1071
143078,1092
143091,1064
143105,1073
143119,1086
143132,1050
143145,1063
143159,1079
143173,1045
143186,1068
143200,1078
143213,1043
143226,1067
143240,1079
143254,1054
143267,1071
143281,1052
143294,1049
143308,1086
143321,1055
143335,1059
143348,1097
143362,1064
143375,1080
143389,1087
143402,1054
143416,1064
143429,1100
143443,1059
143456,1076
143470,1083
143483,1062
143497,1088
143510,1065
143524,1073
143537,1080
143551,1064
143564,1083
143578,1100
143591,1058
143605,1068
143619,1081
143632,1068
143645,1091
143659,1102
143673,1064
143686,1088
143700,1103
143713,1073
143726,1086
143740,1073
143754,1078
143767,1091
143781,1068
143794,1075
143808,1085
143821,1051
143835,1075
143848,1092
143862,1058
143875,1073
143889,1079
143902,1047
143916,1066
143929,1090
143943,1064
143956,1095
143970,1065
143983,1071
143997,1077
144010,1046
144024,1051
144037,1071
144051,1040
144064,1058
144078,1070
144091,1043
144105,1067
144119,1080
144132,1046
144145,1062
144159,1081
144172,1057
144186,1073
144200,1064
144213,1047
144226,1072
144240,1044
144254,1066
144267,1086
144280,1049
144294,1084
144308,1108
144321,1072
144335,1082
144348,1088
144361,1056
144375,1074
144389,1084
144402,1059
144416,1073
144429,1041
144443,1052
144456,1074
144470,1043
144483,1055
144497,1082
144510,1049
144524,1062
144537,1072
144551,1047
144564,1070
144578,1081
144591,1052
144605,1059
144619,1083
144632,1071
144645,1080
144659,1080
144672,1057
144686,1092
144700,1064
144713,1083
144726,1099
144740,1059
144754,1090
144767,1108
144780,1088
144794,1096
144808,1122
144821,1086
144835,1101
144848,1107
144861,1080
144875,1083
144889,1088
144902,1094
144916,1104
144929,1071
144943,1087
144956,1116
144970,1076
144983,1087
144997,1096
145010,1060
145024,1080
145037,1096
145051,1060
145064,1073
145078,1089
145091,1065
145105,1078
145119,1075
145132,1056
145145,1075
145159,1043
145172,1067
145186,1079
145199,1043
145213,1073
145226,1091
145240,1062
145254,1068
145267,1079
145280,1051
145294,1080
145308,1099
145321,1065
145335,1079
145348,1086
145361,1079
145375,1092
145389,1058
145402,1071
145416,1084
145429,1048
145443,1070
145456,1083
145470,1053
145483,1063
145497,1092
145510,1054
145524,1076
145537,1093
145551,1073
145564,1096
145578,1083
145591,1066
145605,1072
145618,1043
145632,1063
145645,1084
145659,1049
145672,1056
145686,1076
145699,1050
145713,1057
145726,1075
145740,1041
145754,1059
145767,1083
145780,1054
145794,1072
145807,1083
145821,1067
145835,1083
145848,1051
145861,1060
145875,1091
145889,1063
145902,1083
145916,1097
145929,1061
145943,1075
145956,1086
145970,1054
145983,1076
145997,1077
146010,1052
146024,1074
146037,1087
146051,1059
146064,1073
146078,1044
146091,1072
146105,1088
146118,1053
146132,1068
146145,1092
146159,1070
146172,1083
146186,1092
146199,1058
146213,1091
146226,1100
146240,1070
146254,1081
146267,1079
146280,1073
146294,1082
146307,1053
146321,1070
146335,1077
146348,1055
146361,1084
146375,1095
146389,1066
146402,1083
146416,1111
146429,1079
146443,1083
146456,1087
146470,1056
146483,1060
146496,1043
146510,1051
146524,1070
146537,1044
146551,1049
146564,1071
146578,1032
146591,1050
146605,1069
146618,1040
146632,1069
146645,1096
146659,1055
146672,1079
146686,1097
146699,1073
146713,1081
146726,1067
146740,1052
146754,1088
146767,1058
146780,1070
146794,1079
146807,1038
146821,1057
146835,1073
146848,1041
146861,1050
146875,1064
146889,1027
146902,1049
146916,1088
146929,1055
146943,1064
146956,1063
146970,1060
146983,1076
146996,1044
147010,1057
147024,1083
147037,1049
147051,1057
147064,1068
147078,1034
147091,1067
147105,1073
147118,1052
147132,1059
147145,1091
147159,1061
147172,1076
147186,1070
147199,1048
147213,1085
147226,1053
147240,1063
147253,1070
147267,1033
147280,1041
147294,1062
147307,1030
147321,1045
147335,1063
147348,1027
147361,1041
147375,1060
147389,1031
147402,1046
147415,1044
147429,1036
147442,1047
147456,1015
147470,1040
147483,1063
147496,1035
147510,1053
147524,1067
147537,1033
147551,1067
147564,1085
147578,1054
147591,1059
147605,1084
147618,1059
147632,1088
147645,1094
147659,1063
147672,1088
147686,1056
147699,1073
147713,1083
147726,1049
147740,1064
147753,1099
147767,1062
147780,1071
147794,1083
147807,1050
147821,1073
147834,1083
147848,1051
147861,1063
147875,1061
147889,1046
147902,1063
147915,1032
147929,1047
147942,1083
147956,1060
147970,1072
147983,1081
147996,1046
148010,1074
148024,1090
148037,1064
148051,1067
148064,1075
148078,1044
148091,1059
148105,1074
148118,1051
148132,1071
148145,1065
148159,1068
148172,1086
148186,1051
148199,1060
148213,1089
148226,1062
148240,1074
148253,1084
148267,1054
148280,1081
148294,1096
148307,1054
148321,1065
148334,1062
148348,1036
148361,1057
148375,1021
148389,1038
148402,1059
148415,1046
148429,1063
148442,1080
148456,1043
148470,1062
148483,1089
148496,1060
148510,1073
148524,1079
148537,1063
148551,1079
148564,1092
148578,1063
148591,1070
148605,1068
148618,1067
148632,1079
148645,1043
148659,1064
148672,1084
148686,1058
148699,1073
148713,1088
148726,1052
148740,1059
148753,1076
148767,1044
148780,1060
148794,1065
148807,1043
148821,1077
148834,1043
148848,1052
148861,1063
148875,1038
148888,1060
148902,1076
148915,1044
148929,1060
148942,1097
148956,1064
148970,1078
148983,1087
148996,1052
149010,1080
149024,1097
149037,1068
149051,1072
149064,1073
149077,1073
149091,1096
149105,1064
149118,1072
149132,1079
149145,1052
149159,1068
149172,1080
149186,1048
149199,1072
149213,1096
149226,1068
149240,1102
149253,1117
149267,1089
149280,1124
149294,1095
149307,1094
149321,1099
149334,1067
149348,1087
149361,1097
149375,1059
149388,1071
149402,1088
149415,1063
149429,1081
149442,1101
149456,1062
149470,1088
149483,1116
149496,1085
149510,1095
149524,1085
149537,1067
149551,1096
149564,1067
149577,1078
149591,1091
149605,1048
149618,1070
149631,1084
149645,1054
149659,1069
149672,1088
149686,1057
149699,1073
149713,1087
149726,1059
149740,1071
149753,1068
149767,1059
149780,1081
149794,1049
149807,1067
149821,1096
149834,1060
149848,1072
149861,1090
149875,1056
149888,1067
149902,1089
149915,1063
149929,1087
149942,1115
149956,1092
149970,1116
149983,1111
149996,1087
150010,1118
150024,1092
150037,1101
150051,1113
150064,1075
150077,1088
150091,1103
150105,1069
150118,1083
150131,1107
150145,1067
150159,1081
150172,1102
150186,1073
150199,1094
150213,1100
150226,1096
150240,1126
150253,1099
150267,1112
150280,1146
150294,1105
150307,1113
150321,1129
150334,1099
150348,1133
150361,1147
150375,1111
150388,1123
150402,1140
150415,1118
150429,1132
150442,1145
150456,1121
150470,1144
150483,1118
150496,1137
150510,1148
150523,1107
150537,1139
150550,1172
150564,1148
150577,1173
150591,1198
150605,1166
150618,1198
150631,1219
150645,1185
150659,1207
150672,1224
150686,1197
150699,1228
150712,1193
150726,1216
150740,1243
150753,1207
150767,1216
150780,1217
150794,1177
150807,1182
150821,1201
150834,1159
150848,1170
150861,1172
150875,1150
150888,1169
150902,1175
150915,1136
150929,1153
150942,1129
150956,1135
150969,1149
150983,1103
150996,1111
151010,1144
151023,1111
151037,1123
151050,1135
151064,1095
151077,1132
151091,1140
151105,1105
151118,1115
151131,1132
151145,1111
151159,1124
151172,1088
151186,1096
151199,1110
151212,1075
151226,1090
151240,1099
151253,1068
151267,1083
151280,1108
151294,1074
151307,1084
151321,1095
151334,1063
151348,1088
151361,1100
151375,1068
151388,1078
151402,1062
151415,1071
151429,1086
151442,1051
151456,1062
151469,1080
151483,1046
151496,1063
151510,1084
151523,1039
151537,1064
151550,1092
151564,1060
151577,1072
151591,1084
151605,1054
151618,1079
151631,1051
151645,1055
151659,1068
151672,1039
151686,1062
151699,1083
151712,1052
151726,1056
151740,1079
151753,1044
151767,1057
151780,1068
151794,1052
151807,1077
151821,1088
151834,1054
151848,1057
151861,1073
151875,1074
151888,1097
151902,1071
151915,1083
151929,1092
151942,1067
151956,1094
151969,1099
151983,1062
151996,1069
152010,1087
152023,1057
152037,1076
152050,1088
152064,1046
152077,1062
152091,1035
152105,1043
152118,1067
152131,1031
152145,1054
152158,1075
152172,1047
152186,1065
152199,1079
152212,1051
152226,1071
152240,1086
152253,1058
152267,1076
152280,1105
152294,1068
152307,1078
152321,1070
152334,1064
152347,1081
152361,1043
152375,1058
152388,1067
152402,1035
152415,1052
152429,1073
152442,1031
152456,1044
152469,1064
152483,1033
152496,1052
152510,1060
152523,1026
152537,1051
152550,1040
152564,1036
152577,1047
152591,1017
152605,1030
152618,1060
152631,1028
152645,1048
152658,1063
152672,1041
152686,1059
152699,1075
152712,1044
152726,1049
152740,1065
152753,1039
152766,1049
152780,1048
152794,1033
152807,1057
152821,1024
152834,1038
152847,1051
152861,1017
152875,1036
152888,1053
152902,1030
152915,1043
152929,1080
152942,1052
152956,1057
152969,1075
152983,1040
152996,1068
153010,1057
153023,1051
153037,1062
153050,1021
153064,1028
153077,1050
153091,1021
153104,1036
153118,1060
153131,1035
153145,1070
153158,1084
153172,1048
153186,1062
153199,1092
153212,1059
153226,1080
153240,1073
153253,1048
153266,1053
153280,1035
153294,1043
153307,1060
153321,1028
153334,1036
153347,1059
153361,1022
153375,1047
153388,1054
153402,1020
153415,1044
153429,1063
153442,1038
153456,1048
153469,1067
153483,1046
153496,1053
153510,1022
153523,1024
153537,1044
153550,1016
153564,1031
153577,1043
153591,1016
153604,1049
153618,1076
153631,1041
153645,1047
153658,1060
153672,1029
153685,1047
153699,1056
153712,1024
153726,1044
153740,1020
153753,1035
153766,1051
153780,1015
153793,1027
153807,1053
153821,1024
153834,1038
153847,1054
153861,1027
153875,1052
153888,1070
153902,1032
153915,1048
153929,1063
153942,1047
153956,1061
153969,1035
153983,1043
153996,1080
154010,1042
154023,1056
154037,1067
154050,1035
154064,1049
154077,1085
154091,1043
154104,1059
154118,1071
154131,1047
154145,1079
154158,1084
154172,1053
154185,1059
154199,1062
154212,1067
154226,1080
154240,1039
154253,1058
154266,1076
154280,1046
154293,1058
154307,1073
154321,1031
154334,1047
154347,1062
154361,1036
154375,1044
154388,1061
154402,1041
154415,1058
154429,1028
154442,1030
154456,1064
154469,1033
154483,1043
154496,1062
154510,1026
154523,1039
154537,1056
154550,1019
154564,1036
154577,1040
154591,1015
154604,1032
154618,1059
154631,1027
154645,1043
154658,1035
154672,1046
154685,1067
154699,1027
154712,1040
154726,1064
154739,1038
154753,1051
154766,1067
154780,1032
154793,1046
154807,1062
154821,1036
154834,1051
154847,1072
154861,1044
154875,1079
154888,1087
154902,1108
154915,1137
154929,1112
154942,1131
154956,1136
154969,1103
154982,1112
154996,1127
155010,1087
155023,1107
155037,1121
155050,1091
155064,1124
155077,1128
155091,1091
155104,1107
155118,1137
155131,1131
155145,1164
155158,1127
155172,1151
155185,1171
155199,1143
155212,1180
155226,1211
155239,1169
155253,1198
155266,1233
155280,1200
155293,1228
155307,1240
155321,1200
155334,1236
155347,1235
155361,1230
155375,1245
155388,1208
155402,1239
155415,1260
155428,1219
155442,1235
155456,1273
155469,1234
155482,1256
155496,1268
155510,1229
155523,1245
155537,1276
155550,1239
155564,1257
155577,1257
155591,1235
155604,1278
155618,1233
155631,1251
155645,1271
155658,1238
155672,1265
155685,1287
155699,1244
155712,1256
155726,1279
155739,1246
155753,1257
155766,1281
155780,1239
155793,1268
155807,1268
155821,1251
155834,1267
155847,1238
155861,1263
155875,1281
155888,1249
155901,1278
155915,1305
155928,1271
155942,1300
155956,1309
155969,1272
155982,1268
155996,1283
156010,1229
156023,1229
156037,1218
156050,1181
156064,1200
156077,1155
156091,1160
156104,1163
156118,1128
156131,1143
156145,1156
156158,1106
156172,1112
156185,1119
156199,1095
156212,1112
156226,1115
156239,1073
156253,1089
156266,1094
156280,1078
156293,1081
156307,1041
156320,1046
156334,1058
156347,1028
156361,1048
156374,1071
156388,1051
156401,1101
156415,1116
156428,1084
156442,1092
156456,1111
156469,1079
156482,1104
156496,1107
156510,1077
156523,1080
156537,1043
156550,1057
156564,1086
156577,1052
156591,1075
156604,1105
156618,1064
156631,1080
156645,1099
156658,1076
156672,1102
156685,1137
156699,1113
156712,1139
156726,1166
156739,1145
156753,1168
156766,1134
156780,1149
156793,1165
156807,1137
156820,1156
156834,1169
156847,1132
156861,1154
156874,1160
156888,1121
156901,1126
156915,1124
156928,1087
156942,1107
